Animal,WaterSprinklers,Trampoline,WoodenPost,LargeBall,SmallBall,RopeToy,BoneToy,Tunnel,WoodenLogs,CardboardBoxes,CarTire,RockPerch,HighWoodBeamPerch,RockCliff,SaltBlock,Mirror,ScentMarkers,TugBallJollyBall,TallGrassVegetation,Mud,Pond
Rabbit,,3,,,2,,,2,,3,,1,,,,,,,1,,
Goose,1,2,,,3,,,,,,,1,,,,3,,,,,2
Capybara,1,1,,,2,,,,,,,3,,,,,,,,1,1
Pig,,,,1,1,,1,,,1,,,,,,1,,,,3,
Duck,1,,,,,,,,,,,,,,,3,,,,,2
Snake,,1,,,2,,,,,,,3,1,,,,3,,,,
Badger,,,,,,,,2,1,1,,,,,,,2,,,,
Hyena,,,,1,,3,2,,,,,,,,,,2,,,,
Porcupine,,,,,1,,,2,,1,,,,,1,,,,1,,
Bear,,,,2,,,,,2,,2,,,,,,,,,,
Meerkat,,,,,1,,,3,,2,,,,,,,,,,,
Horse,,2,,1,3,,,,,,,1,,,3,,,3,,,
Armadillo,,1,,,2,,,2,,1,,3,,,,,,,,,
Donkey,,,,1,,,,,,,,,,,2,,,2,,1,
Cow,,,,,,,,,,,,,,,2,,,2,2,1,
Tapir,,,,1,,,,,,,,,,,3,,1,,,,1
Ostrich,,,,,,,,,,,,,,,,,,,5,,
Tortoise,2,1,,,2,,,,,,,3,2,,,,,,,1,
Chicken,,,,,,,,,1,,,1,,,,2,,,2,,
Camel,,,,,,,,,,,,,,,2,,,3,,,
Penguin,1,,,,2,,,2,,,,,,,,,,,,,2
Antelope,,,1,,,,,,,,,,,3,2,,,,,1,
Panther,,,2,,,,,,,1,2,,,,,,2,,,,
Seal,1,,,2,,,,,,,,,,,,,,,,,5
Wolf,,3,,,2,2,3,,,,,1,,,,,2,,,,
Lemur,,2,,,2,,,,1,,,,,,,1,1,,,,
Alpaca,,2,,1,3,,,,,,,1,,,2,1,,,2,,
KomodoDragon,,,,,,,,,,,,3,2,,,,2,,,,
Walrus,2,,,,,,,,,,,,,,,,,,,,5
OrangUtan,,2,,,,,,,2,1,,,1,,,1,,,,,
PolarBear,,,,2,,,,,,,2,,,,,,,,,,3
Skunk,,,,,2,,,1,,2,,,,,,,,,1,,
Crocodile,2,,,,,,,,,,,1,,,,,,,1,1,3
WildBoar,,,,1,1,,2,,,,,,,,,,,,,3,
Peacock,,,,,,,,,,,,1,2,,,,,,3,,
Platypus,2,,,,,,,,,,,,,,,,,,2,,3
Deer,,,,,,,,,,,,,,2,2,,,1,3,,
Monkey,,2,,1,1,,,,2,,,,1,,,1,,,,,
Flamingo,2,,,,,,,,,,,,,,,1,,,,,4
Gorilla,,2,,1,1,,,,2,,,,,,,1,,,,,
Tiger,,,2,,,,,,,1,1,,,,,,2,,1,,
Kangaroo,,,,2,1,,,,,,,1,,,,,,,2,,
Beavers,1,,,,,,,2,,,,,,,,,,,,,4
RedPanda,,,,,,,,1,3,,,,2,,,,,,1,,
Zebra,1,,,,,,,,,,,,,,2,,,2,2,,
Fox,,3,,,1,,,1,,2,,,,,,,,,,,
Raccoon,,2,,,,,,3,,2,,,,,,,,,,,
Elephant,2,,,1,,,,,,,,,,,2,1,,,,1,
Cheetah,,,2,1,,,,,,1,1,,,,,,2,,,,
Otter,3,,,,,,,1,,,,,,,,,,,,,4
Owl,1,,,,,,,,,,,1,2,,,2,,,1,,
Rhino,1,,,1,,,,,,,2,,,,,,,,,3,
Panda,,,,1,,,,,2,,,,3,,,,,,1,,
Giraffe,1,,,,,,,,,,,,,,2,,,,3,,
Hippopotamus,1,1,,2,1,,,,,,,3,3,,,,,,,2,4
Lion,,,2,,,,,,,1,1,2,,,,,2,,,,
